web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691785864-1","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/gerua-women-floral-print-straight-kurta/p/itm4e798e39c76ec?pid=KTAGD7C4VZFRHVP8&lid=LSTKTAGD7C4VZFRHVP84A3C3O&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_80&otracker=search&otracker1=search&iid=b4f400f0-cf88-4f1e-9637-f89fe3915558.KTAGD7C4VZFRHVP8.SEARCH&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Floral Print Cotton Blend Straight Kurta  (Yellow)","₹489","https://rukminim2.flixcart.com/image/832/832/l1pc3gw0/kurta/m/6/a/m-g2435-gerua-original-imagd7c4ufssqd45.jpeg?q=70"
"1691785867-2","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/w-women-striped-straight-kurta/p/itm2ca695712a5ac?pid=KTAGGSH56QFXMT8H&lid=LSTKTAGGSH56QFXMT8H5UUNXB&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_79&otracker=search&otracker1=search&iid=b4f400f0-cf88-4f1e-9637-f89fe3915558.KTAGGSH56QFXMT8H.SEARCH&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Striped Viscose Rayon Straight Kurta  (Yellow)","₹799","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/5/a/5/l-22auw17707-118168-w-original-imaggsh5eqhzd8dz.jpeg?q=70"
"1691785870-3","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/soulliine-creation-women-geometric-print-a-line-kurta/p/itm0f64273e5080f?pid=KTAGQFHJNKY3D7YX&lid=LSTKTAGQFHJNKY3D7YXDBBIFF&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_78&otracker=search&otracker1=search&iid=en_cEKl1VKv98qsElkqVc2ODd5BDwweb6OMvNAiNsd3cTrRc9DkqkZ4AnsH9vBXQ37m2eCwov-eDZFQ14S7eFj4Yg%3D%3D&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Geometric Print Cotton Blend A-line Kurta  (Yellow)","₹381","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/0/h/s/xs-irina-yellow-xs-soulliine-creation-original-imagpzryhge4wt33.jpeg?q=70"
"1691785873-4","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/nehamta-women-embroidered-straight-kurta/p/itme39e99e1d0e68?pid=KTAG6GNVQPNJKQJY&lid=LSTKTAG6GNVQPNJKQJYOLFKHZ&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_77&otracker=search&otracker1=search&iid=en_cEKl1VKv98qsElkqVc2ODd5BDwweb6OMvNAiNsd3cTopIdXijxiNpBdZhlYFXtN3h9uw3ZmcFZ_oNQ8XqIvD7Q%3D%3D&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Embroidered Viscose Rayon Straight Kurta  (Yellow)","₹588","https://rukminim2.flixcart.com/image/832/832/kbgu1e80/kurta/c/s/c/l-spk1028-spera-original-imafst5pefaw37rr.jpeg?q=70"
"1691785876-5","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/annsh-apparel-women-printed-frontslit-kurta/p/itmf394ea7586470?pid=KTAGA9Y3HZCNKXZU&lid=LSTKTAGA9Y3HZCNKXZUXSAMEK&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_76&otracker=search&otracker1=search&iid=b4f400f0-cf88-4f1e-9637-f89fe3915558.KTAGA9Y3HZCNKXZU.SEARCH&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Printed Viscose Rayon Frontslit Kurta  (Yellow)","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/w/p/i/m-121yellow-annsh-apparel-original-imagrwd9z99faagr.jpeg?q=70"
"1691785879-6","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/shrivani-women-striped-straight-kurta/p/itme8aa3e7fd5784?pid=KTAGC7VUTSZVE2ZH&lid=LSTKTAGC7VUTSZVE2ZHULYZ38&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_75&otracker=search&otracker1=search&iid=b4f400f0-cf88-4f1e-9637-f89fe3915558.KTAGC7VUTSZVE2ZH.SEARCH&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Striped Cotton Blend Straight Kurta  (Yellow)","₹429","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/b/i/p/m-kharoliya0104-kharoliya-original-imagpzgayg3zwb67.jpeg?q=70"
"1691785882-7","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/muskan-garmentss-women-solid-straight-kurta/p/itmf8c88654202a3?pid=KTAGCGFFHVDACUTG&lid=LSTKTAGCGFFHVDACUTGNIANLN&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_74&otracker=search&otracker1=search&iid=b4f400f0-cf88-4f1e-9637-f89fe3915558.KTAGCGFFHVDACUTG.SEARCH&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Solid Cotton Blend Straight Kurta  (Yellow)","₹279","https://rukminim2.flixcart.com/image/832/832/l0sgyvk0/kurta/4/s/d/xl-mg-short-kurti-yellow-muskan-garmentss-original-imagcgffzvugvthu.jpeg?q=70"
"1691785885-8","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/fariya-women-solid-anarkali-kurta/p/itmc686639c52932?pid=KTAFY4K7XYDYZB8X&lid=LSTKTAFY4K7XYDYZB8XYN03QG&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_73&otracker=search&otracker1=search&iid=b4f400f0-cf88-4f1e-9637-f89fe3915558.KTAFY4K7XYDYZB8X.SEARCH&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Solid Viscose Rayon Anarkali Kurta  (Yellow)","₹499","https://rukminim2.flixcart.com/image/832/832/kialrww0-0/kurta/j/e/i/s-atk1021-fariya-original-imafy4k6y3ufw9cs.jpeg?q=70"
"1691785888-9","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/sburi-women-embroidered-a-line-kurta/p/itmbb4e6537059d7?pid=KTAFZFGE8PKUGFPG&lid=LSTKTAFZFGE8PKUGFPG3DTSND&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_72&otracker=search&otracker1=search&iid=en_cEKl1VKv98qsElkqVc2ODd5BDwweb6OMvNAiNsd3cTq1q77wr_8xtuxS2ZFme43D5eZTyW1A9EM0-dF8UtFlqw%3D%3D&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Embroidered Pure Cotton A-line Kurta  (Yellow)","₹454","https://rukminim2.flixcart.com/image/832/832/kjhgzgw0-0/kurta/m/m/c/4xl-ku108-sburi-original-imafzfgdcpgqxg4e.jpeg?q=70"
"1691785891-10","https://www.flipkart.com/search?q=kurta+yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/fasonika-creation-women-printed-straight-kurta/p/itmd4dc75f6cdccf?pid=KTAGE57DHKHJRVZX&lid=LSTKTAGE57DHKHJRVZXNVQVAU&marketplace=FLIPKART&q=kurta+yellow&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_2_71&otracker=search&otracker1=search&iid=en_cEKl1VKv98qsElkqVc2ODd5BDwweb6OMvNAiNsd3cTrID29Kk3CiBcRB82cMUs8R84u_l211mnkcm9ssO43Wdg%3D%3D&ssid=p0iar6kjf40000001691785859261&qH=362a30c5cc9a91e2","Women Printed Cotton Blend Straight Kurta  (Yellow)","₹426","https://rukminim2.flixcart.com/image/832/832/l2w7b0w0/kurta/n/e/e/m-fc-katha-doori-mustard-fasonika-creation-original-image57cdxj2rbv4.jpeg?q=70"
